BEGIN RESULTS HEADER:
endoplasmic reticulum membrane2.25626116862chloroplast3.52314576125peroxisome membrane0.0361310710326golgi apparatus0.346492772969nucleus membrane0.0405433383051secreted1.50349490728plastid0.0415381631777cytoplasm64.326014677vacuole membrane0.524482369472endoplasmic reticulum0.45443828568vacuole0.198104525059chloroplast membrane0.147926460112nucleus12.7554010108plasma membrane2.9211634772peroxisome1.35942264705mitochondrion7.48474526279golgi apparatus membrane0.498099866155mitochondrion membrane1.57117470072P34232,90.1813166895,32|MTR2_YEAST mRNA transport regulator MTR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MTR2 PE=1 SV=1,187,nucleus,1.0,False,450.906583448,112.426041473,0.00541145431141
P38170,5.42239034922,70|CND2_YEAST Condensin complex subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BRN1 PE=1 SV=3,766,nucleus,0.75,False,27.1119517461,27.69034005,0.00133283186071
P38173,2.20802986823,73|YBJ4_YEAST Putative uncharacterized protein YBL094C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YBL094C PE=5 SV=1,111,secreted,0.38,False,11.0401493411,1.63394210249,7.86472859781e-05
P38172,1.72384577588,72|YBJ5_YEAST Uncharacterized protein YBL095W, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YBL095W PE=1 SV=1,274,mitochondrion,1.0,False,8.61922887938,3.14889161727,0.000151567047058
Q07963,0.857461295323,63|UBR2_YEAST E3 ubiquitin-protein ligase UBR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBR2 PE=1 SV=1,1903,cytoplasm,1.0,False,4.28730647662,10.8783256333,0.000523611446051
Q3E7A4,31.4728504915,A4|COXM2_YEAST COX assembly mitochondrial protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CMC2 PE=1 SV=1,110,nucleus,0.68,False,157.364252457,23.0800903604,0.00111092459409
Q3E7A7,12.5722103993,A7|YK018_YEAST Uncharacterized protein YKL018C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YKL018C-A PE=1 SV=1,100,cytoplasm,1.0,False,62.8610519966,8.38147359955,0.000403429319863
P38179,0.488774807395,79|ALG3_YEAST Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALG3 PE=1 SV=1,465,endoplasmic reticulum membrane,0.25,False,2.44387403697,1.51520190292,7.29319093941e-05
Q3E7A0,1.82993591747,A0|YK106_YEAST Uncharacterized protein YKL106C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YKL106C-A PE=4 SV=1,39,secreted,0.13,False,9.14967958735,0.475783338542,2.29010980456e-05
P31109,14.0019553035,09|SNC1_YEAST Synaptobrevin homolog 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SNC1 PE=1 SV=1,118,vacuole membrane,0.18,False,70.0097765177,11.0148715055,0.000530183871254
Q06107,111.948983884,07|YP114_YEAST Uncharacterized TLC domain-containing protein YPR114W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPR114W PE=1 SV=1,320,endoplasmic reticulum membrane,1.0,False,559.744919422,238.824498954,0.0114954493425
Q06676,0.958856914386,76|YFT2_YEAST FIT family protein YFT2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YFT2 PE=1 SV=1,278,endoplasmic reticulum membrane,0.13,False,4.79428457193,1.77708148133,8.55370794691e-05
Q8TGM6,0.345961470182,M6|TAR1_YEAST Protein TAR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TAR1 PE=2 SV=1,126,mitochondrion,1.0,False,1.72980735091,0.290607634953,1.39879508208e-05
Q99321,52.4446895754,21|DDP1_YEAST Diphosphoinositol polyphosphate phosphohydrolase DDP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DDP1 PE=1 SV=3,191,cytoplasm,0.28,False,262.223447877,66.7795713927,0.00321433179353
P16550,744.756226051,50|APA1_YEAST Protein APA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=APA1 PE=1 SV=4,326,cytoplasm,0.19,False,3723.78113026,1618.60353128,0.0779089874826
P50094,363.089078809,94|IMDH4_YEAST Inosine-5'-monophosphate dehydrogenase 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IMD4 PE=1 SV=1,532,cytoplasm,1.0,False,1815.44539404,1287.75593284,0.0619841480098
Q02948,9.6666080455,48|BECN1_YEAST Vacuolar protein sorting-associated protein 30 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPS30 PE=1 SV=1,566,cytoplasm,0.15,False,48.3330402275,36.4753343584,0.00175568402825
P21672,23.6015652173,72|RIR3_YEAST Ribonucleoside-diphosphate reductase large chain 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RNR3 PE=1 SV=4,883,cytoplasm,1.0,False,118.007826086,138.934547246,0.00668740039982
P46151,6.1714813125,51|MTHR1_YEAST Methylenetetrahydrofolate reductase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MET12 PE=1 SV=2,667,cytoplasm,0.45,False,30.8574065625,27.4425202363,0.00132090343574
P38286,231.011540547,86|MKAR_YEAST Very-long-chain 3-oxoacyl-CoA reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IFA38 PE=1 SV=1,352,endoplasmic reticulum membrane,0.2,False,1155.05770273,542.107081816,0.0260934892549
P40422,232.275979946,22|RPAB4_YEAST DNA-directed RNA polymerases I, II, and III subunit RPABC4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPC10 PE=1 SV=1,71,nucleus,1.0,False,1161.37989973,109.943963841,0.00529198332831
P38284,0.24230230808,84|ICS2_YEAST Increased copper sensitivity protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ICS2 PE=1 SV=2,259,nucleus,0.72,False,1.2115115404,0.418375318618,2.01378514449e-05
P38283,4.0426739421,83|SLI15_YEAST Inner centromere protein-related protein SLI15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SLI15 PE=1 SV=1,709,nucleus,0.67,False,20.2133697105,19.1083721663,0.000919752057342
P38282,19.72462899,82|SP381_YEAST Pre-mRNA-splicing factor SPP381 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPP381 PE=1 SV=1,295,nucleus,1.0,False,98.6231449499,38.791770347,0.00186718210604
P38281,64.2999017616,81|APD1_YEAST Actin patches distal protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=APD1 PE=1 SV=1,321,cytoplasm,0.15,False,321.499508808,137.60178977,0.00662325017187
P38280,3.23794653781,80|YSW1_YEAST Spore-specific protein YSW1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YSW1 PE=1 SV=1,619,cytoplasm,0.23,False,16.189732689,13.361926046,0.000643155725873
Q12525,2.35798008679,25|MHT1_YEAST Homocysteine S-methyltransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MHT1 PE=1 SV=1,329,cytoplasm,1.0,False,11.789900434,5.1718363237,0.000248938374109
Q12524,2.01912310962,24|PCD1_YEAST Peroxisomal coenzyme A diphosphatase 1, peroxisomal OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PCD1 PE=1 SV=1,345,peroxisome,1.0,False,10.0956155481,4.64398315214,0.000223530974866
Q12527,0.588463724879,27|ATG11_YEAST Autophagy-related protein 11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATG11 PE=1 SV=1,1197,cytoplasm,0.1,False,2.9423186244,4.69594052454,0.000226031862945
P48563,24.7634228901,63|MON2_YEAST Protein MON2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MON2 PE=1 SV=1,1663,nucleus,0.86,False,123.817114451,274.543815109,0.0132147435992
Q12523,6.82009912276,23|YP247_YEAST WD repeat-containing protein YPL247C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPL247C PE=1 SV=1,531,cytoplasm,0.26,False,34.1004956138,24.1431508946,0.00116209337523
P38288,116.513238467,88|TOS1_YEAST Protein TOS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TOS1 PE=1 SV=1,462,secreted,0.89,False,582.566192334,358.860774478,0.0172732105463
Q07362,64.6589716371,62|PBP4_YEAST Protein PBP4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PBP4 PE=1 SV=1,188,nucleus,0.74,False,323.294858185,81.0392444518,0.00390069918888
Q01802,27.3671264018,02|AATM_YEAST Aspartate aminotransferase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AAT1 PE=1 SV=2,458,mitochondrion,1.0,False,136.835632009,83.5609592803,0.00402207804739
P52870,10.0303467541,70|SC6B1_YEAST Protein transport protein SBH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SBH1 PE=1 SV=1,83,endoplasmic reticulum membrane,1.0,False,50.1517337704,5.55012520392,0.000267146726596
P52871,64.9181011138,71|SC6B2_YEAST Protein transport protein SBH2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SBH2 PE=1 SV=1,89,endoplasmic reticulum membrane,1.0,False,324.590505569,38.5180733275,0.00185400812165
Q05812,27.6037083012,12|MSC3_YEAST Meiotic sister-chromatid recombination protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MSC3 PE=1 SV=1,740,nucleus,0.44,False,138.018541506,136.178294286,0.00655473240967
P39977,2.03873008123,77|YEH8_YEAST Uncharacterized protein YEL068C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YEL068C PE=1 SV=1,111,secreted,0.56,False,10.1936504062,1.50866026011,7.26170374949e-05
Q12167,2.67648315036,67|RRG1_YEAST Required for respiratory growth protein 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RRG1 PE=1 SV=1,371,mitochondrion,1.0,False,13.3824157518,6.61983499189,0.000318635559327
P53223,39.2000324029,23|CAX4_YEAST Dolichyldiphosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CAX4 PE=1 SV=1,242,endoplasmic reticulum membrane,1.0,False,196.000162015,63.2427189434,0.00304409084948
P53845,3.18633531185,45|YIF1_YEAST Protein transport protein YIF1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YIF1 PE=1 SV=1,319,endoplasmic reticulum membrane,0.8,False,15.9316765593,6.77627309654,0.000326165466499
Q12090,0.695971945758,90|REXO3_YEAST RNA exonuclease 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=REX3 PE=1 SV=1,410,nucleus,0.24,False,3.47985972879,1.9023233184,9.15654023588e-05
P10659,1716.34713204,59|METK1_YEAST S-adenosylmethionine synthase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAM1 PE=1 SV=2,388,cytoplasm,0.5,False,8581.73566018,4439.61791487,0.213694168999
Q12045,0.543885587124,45|VIK1_YEAST Spindle pole body-associated protein VIK1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VIK1 PE=1 SV=1,657,nucleus,0.14,False,2.71942793562,2.3822188716,0.000114664435522
Q04322,28.1698421015,22|GYL1_YEAST Probable GTPase-activating protein GYL1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GYL1 PE=1 SV=1,731,cytoplasm,0.09,False,140.849210507,137.281030508,0.00660781091893
P18494,2.54404860943,94|GLN3_YEAST Nitrogen regulatory protein GLN3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GLN3 PE=1 SV=2,742,nucleus,1.0,False,12.7202430471,12.5845604546,0.000605738430681
P18496,1.42703319476,96|ATP10_YEAST Mitochondrial ATPase complex subunit ATP10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATP10 PE=1 SV=2,283,mitochondrion,0.49,False,7.13516597378,2.69233596077,0.000129591443867
Q03533,122.288824472,33|TDA1_YEAST Serine/threonine-protein kinase TDA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TDA1 PE=1 SV=1,595,cytoplasm,0.18,False,611.444122359,485.079003738,0.0233485305696
P53717,9.92093142307,17|YN82_YEAST Putative uncharacterized protein YNR005C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNR005C PE=5 SV=1,136,secreted,0.28,False,49.6046571153,8.99497782358,0.000432959400569
